Project ID,Location,Type,Scope (km or m3),CapEx ($M),Duration (months),Safety Score,Delay %,Rework Cost %
OIL288,Inuvik,Pipeline,405 km,573.24,12,96.8,1.1%,0.5%
OIL289,Clearwater County,Storage Terminal,182473 m3,1203.58,31,94.2,1.5%,0.6%
OIL290,Inuvik,Petrochemical Plant,178681 m3,803.92,22,89.4,4.6%,0.5%
OIL291,Lutsel K’e,Pipeline,82 km,630.68,18,95.8,5.9%,1.6%
OIL292,Kugluktuk,Offshore Platform,202008 m3,1198.25,34,85.7,4.0%,1.0%
OIL293,Kugluktuk,Offshore Platform,275180 m3,651.37,14,91.7,3.9%,0.8%
OIL294,Yellowhead County,Storage Terminal,99429 m3,846.14,17,87.5,5.5%,1.1%
OIL295,Strathcona County,Offshore Platform,270460 m3,980.69,25,86.8,4.5%,1.1%
OIL296,Inuvik,Storage Terminal,289160 m3,883.29,23,92.5,1.6%,0.5%
OIL297,Regional Municipality of Wood Buffalo,Petrochemical Plant,202697 m3,694.01,18,90.4,3.6%,0.5%
OIL298,Whitehorse,Petrochemical Plant,93527 m3,1106.69,29,88.5,5.8%,1.0%
OIL299,Clearwater County,Refinery,286562 m3,698.87,16,90.1,6.5%,0.7%
OIL300,Peace River,Refinery,100081 m3,1116.65,26,90.0,8.6%,1.2%
OIL301,M.D. of Opportunity No. 17,Offshore Platform,202614 m3,912.46,24,89.6,5.9%,2.0%
OIL302,Athabasca County,Petrochemical Plant,178727 m3,376.67,8,88.9,8.3%,1.3%
OIL303,Clearwater County,Petrochemical Plant,286994 m3,1499.18,33,96.0,1.4%,0.5%
OIL304,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,95740 m3,715.49,19,81.7,11.9%,1.1%
OIL305,Ponoka County No. 3,Storage Terminal,299459 m3,639.21,18,85.7,8.6%,1.8%
OIL306,Lutsel K’e,Offshore Platform,241051 m3,1140.41,26,88.8,7.2%,1.9%
OIL307,Sachs Harbour,Petrochemical Plant,111844 m3,932.4,25,87.5,8.2%,0.7%
OIL308,Peace River,Storage Terminal,291133 m3,594.0,15,92.8,6.1%,1.4%
OIL309,Kugluktuk,Refinery,228140 m3,936.04,27,80.9,10.2%,2.2%
OIL310,Bonnyville M.D. No. 87,Pipeline,187 km,288.33,6,89.6,5.1%,1.3%
OIL311,Inuvik,Storage Terminal,258859 m3,1021.4,23,85.7,10.8%,3.1%
OIL312,Bonnyville M.D. No. 87,Pipeline,161 km,847.27,20,93.8,4.7%,1.1%
OIL313,Lac La Biche County,Petrochemical Plant,271493 m3,1147.78,32,87.3,4.7%,1.4%
OIL314,Clyde River,Pipeline,188 km,686.12,16,100.0,1.0%,0.5%
OIL315,Lutsel K’e,Petrochemical Plant,212917 m3,942.61,26,82.2,8.5%,0.9%
OIL316,Regional Municipality of Wood Buffalo,Offshore Platform,116216 m3,988.45,23,80.6,10.6%,3.0%
OIL317,Yellowhead County,Petrochemical Plant,84998 m3,423.91,12,92.2,-2.9%,0.5%
OIL318,Edmonton,Refinery,76400 m3,859.97,21,89.8,6.6%,1.2%
OIL319,Clearwater County,Pipeline,482 km,333.43,12,91.3,0.5%,0.5%
OIL320,Kugluktuk,Storage Terminal,77798 m3,845.99,24,87.8,4.5%,0.7%
OIL321,Bonnyville,Offshore Platform,192961 m3,813.95,18,81.0,7.3%,0.5%
OIL322,Clearwater County,Storage Terminal,253597 m3,1022.54,21,92.4,2.5%,0.5%
OIL323,Inuvik,Petrochemical Plant,172746 m3,768.82,18,87.6,7.2%,1.1%
OIL324,Dawson City,Petrochemical Plant,284231 m3,904.19,23,85.9,7.8%,1.7%
OIL325,Fort Saskatchewan,Refinery,178467 m3,430.76,8,82.0,7.7%,0.5%
OIL326,Clyde River; Pond Inlet; Whale Cove,Refinery,138229 m3,774.39,20,89.6,5.0%,0.7%
OIL327,Redwater,Offshore Platform,275875 m3,822.92,18,90.5,6.7%,0.5%
OIL328,Peace River,Pipeline,492 km,1227.31,33,85.9,6.6%,1.6%
OIL329,Regional Municipality of Wood Buffalo,Pipeline,333 km,523.51,18,92.3,5.3%,1.9%
OIL330,Edmonton,Refinery,171759 m3,621.09,13,87.4,6.9%,1.4%
OIL331,Yellowhead County,Storage Terminal,119212 m3,236.01,8,97.9,2.1%,0.8%
OIL332,Lutsel K’e,Storage Terminal,104318 m3,574.31,14,89.0,5.0%,1.3%
OIL333,M.D. of Opportunity No. 17,Offshore Platform,117087 m3,881.58,23,79.4,10.7%,2.8%
OIL334,Edmonton,Offshore Platform,271677 m3,977.46,26,84.2,10.0%,2.7%
OIL335,M.D. of Opportunity No. 17,Petrochemical Plant,136664 m3,999.87,24,91.2,5.3%,0.5%
OIL336,Yellowhead County,Storage Terminal,123233 m3,822.72,19,93.4,2.5%,0.5%
OIL337,Lac La Biche County,Petrochemical Plant,235194 m3,958.63,24,88.0,5.2%,0.5%
OIL338,Fort Providence; Kakisa,Petrochemical Plant,55103 m3,962.64,29,87.3,8.0%,1.8%
OIL339,Kugluktuk,Petrochemical Plant,178128 m3,582.97,12,98.8,3.1%,1.1%
OIL340,Clearwater County,Petrochemical Plant,292998 m3,706.64,20,84.7,8.8%,2.2%
OIL341,Lac La Biche County,Pipeline,418 km,754.04,16,92.7,9.6%,1.5%
OIL342,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Storage Terminal,271135 m3,969.4,23,96.4,-0.4%,0.5%
OIL343,Ponoka County No. 3,Storage Terminal,243006 m3,247.79,6,92.5,4.6%,0.6%
OIL344,Inuvik,Pipeline,463 km,992.65,24,93.7,1.6%,0.5%
OIL345,Clyde River,Refinery,160107 m3,620.34,14,84.7,5.9%,1.2%
OIL346,Athabasca County,Petrochemical Plant,58328 m3,1111.21,23,79.5,14.0%,3.6%
OIL347,M.D. of Opportunity No. 17,Petrochemical Plant,272129 m3,906.04,17,85.6,7.3%,2.1%
OIL348,Lac La Biche County,Refinery,121696 m3,1186.29,28,82.9,8.3%,1.8%
OIL349,Lutsel K’e,Pipeline,290 km,1005.54,26,88.4,9.2%,2.9%
OIL350,Peace River,Pipeline,359 km,611.87,16,99.0,1.2%,0.5%
OIL351,Dawson City,Storage Terminal,93954 m3,853.26,16,95.3,2.4%,0.5%
OIL352,Edmonton,Pipeline,281 km,797.9,16,91.7,5.5%,1.4%
OIL353,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,218017 m3,1040.02,25,79.5,11.5%,1.0%
OIL354,Bonnyville,Storage Terminal,72010 m3,505.82,11,89.5,6.4%,1.0%
OIL355,Regional Municipality of Wood Buffalo,Pipeline,442 km,853.71,26,97.6,2.0%,0.5%
OIL356,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Offshore Platform,113972 m3,1082.09,29,81.3,12.5%,1.6%
OIL357,Fort Providence; Kakisa,Petrochemical Plant,258313 m3,839.46,22,93.8,5.2%,2.4%
OIL358,Strathcona County,Storage Terminal,240121 m3,1021.99,30,87.4,9.0%,0.5%
OIL359,Ponoka County No. 3,Offshore Platform,60625 m3,970.13,24,79.5,10.3%,0.7%
OIL360,Bonnyville,Refinery,57485 m3,1103.86,26,91.4,2.1%,1.0%
OIL361,M.D. of Opportunity No. 17,Petrochemical Plant,269103 m3,919.45,20,88.9,2.8%,1.0%
OIL362,Kugluktuk,Storage Terminal,230217 m3,907.44,20,95.7,1.2%,0.5%
OIL363,Fort Providence; Kakisa,Petrochemical Plant,201956 m3,996.02,26,85.6,10.0%,2.3%
OIL364,Lac La Biche County,Petrochemical Plant,209973 m3,820.76,21,85.5,8.4%,2.9%
OIL365,Fort Simpson,Storage Terminal,222330 m3,1289.89,29,85.7,4.8%,1.3%
OIL366,Peace River,Petrochemical Plant,151154 m3,792.62,21,88.9,4.0%,0.6%
OIL367,Whitehorse,Offshore Platform,227359 m3,449.73,7,82.3,8.5%,2.4%
OIL368,Athabasca County,Pipeline,325 km,1033.96,29,92.8,0.6%,0.5%
OIL369,Bonnyville M.D. No. 87,Offshore Platform,72164 m3,925.1,26,82.6,8.9%,2.3%
OIL370,Fort Saskatchewan,Offshore Platform,272123 m3,1034.22,32,85.0,9.5%,2.1%
OIL371,Dawson City,Pipeline,113 km,728.99,22,86.7,11.1%,3.3%
OIL372,M.D. of Opportunity No. 17,Offshore Platform,284538 m3,719.86,12,76.8,12.8%,3.0%
OIL373,Ponoka County No. 3,Petrochemical Plant,166545 m3,469.05,13,87.6,7.7%,1.5%
OIL374,Sachs Harbour,Petrochemical Plant,291959 m3,769.83,20,86.6,3.9%,1.2%
OIL375,Athabasca County,Petrochemical Plant,272138 m3,766.71,20,83.4,10.3%,2.8%
OIL376,Bonnyville,Pipeline,313 km,964.07,23,88.5,1.7%,0.5%
OIL377,Strathcona County,Petrochemical Plant,137954 m3,1086.89,28,82.2,8.3%,1.6%
OIL378,Fort Simpson,Offshore Platform,107124 m3,645.8,11,83.1,7.2%,1.7%
OIL379,Clyde River; Pond Inlet; Whale Cove,Storage Terminal,132569 m3,646.0,12,88.2,6.3%,0.7%
OIL380,Fort Providence; Kakisa,Refinery,177006 m3,866.41,23,80.9,8.8%,2.1%
OIL381,Sachs Harbour,Offshore Platform,170747 m3,780.91,14,84.7,6.0%,0.5%
OIL382,Ponoka County No. 3,Pipeline,225 km,335.61,9,92.1,1.8%,0.5%
OIL383,Bonnyville,Petrochemical Plant,93856 m3,803.31,19,95.4,1.5%,0.9%
OIL384,Clearwater County,Offshore Platform,201599 m3,1058.1,21,81.3,12.5%,1.4%
OIL385,Ponoka County No. 3,Petrochemical Plant,173728 m3,808.59,24,87.4,9.8%,2.9%
OIL386,Sachs Harbour,Pipeline,382 km,783.71,17,93.6,0.6%,0.5%
OIL387,Whitehorse,Petrochemical Plant,56901 m3,690.35,20,82.6,9.1%,1.3%
OIL388,Redwater,Pipeline,364 km,1039.03,27,93.9,4.1%,0.5%
OIL389,Lutsel K’e,Refinery,227747 m3,632.28,13,90.1,7.4%,1.8%
OIL390,Yellowhead County,Petrochemical Plant,163936 m3,563.22,11,83.9,9.5%,2.5%
OIL391,Ponoka County No. 3,Petrochemical Plant,272704 m3,948.43,27,92.5,5.0%,1.2%
OIL392,Fort Saskatchewan,Petrochemical Plant,277565 m3,833.74,20,88.5,6.0%,0.5%
OIL393,Clyde River,Storage Terminal,167449 m3,713.42,19,84.3,9.5%,2.9%
OIL394,Peace River,Pipeline,337 km,951.48,25,88.4,4.2%,0.5%
OIL395,Sachs Harbour,Refinery,66061 m3,819.83,19,83.4,9.5%,2.1%
OIL396,Clyde River; Pond Inlet; Whale Cove,Refinery,292277 m3,842.99,26,88.6,4.3%,0.5%
OIL397,Dawson City,Refinery,141198 m3,823.99,19,94.8,4.8%,1.1%
OIL398,Bonnyville M.D. No. 87,Offshore Platform,237635 m3,501.55,10,88.8,7.4%,2.9%
OIL399,Whitehorse,Offshore Platform,251499 m3,635.96,12,83.1,6.1%,1.9%
OIL400,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,155982 m3,570.46,9,87.0,10.7%,2.5%
OIL401,Sachs Harbour,Refinery,81954 m3,610.22,20,91.7,3.7%,0.9%
OIL402,Bonnyville,Pipeline,295 km,918.79,21,90.0,3.3%,0.5%
OIL403,Inuvik,Petrochemical Plant,56589 m3,593.96,15,88.3,6.1%,1.2%
OIL404,Clyde River; Pond Inlet; Whale Cove,Pipeline,427 km,1074.41,30,92.4,6.3%,1.0%
OIL405,Fort Saskatchewan,Petrochemical Plant,299819 m3,813.36,24,84.0,11.3%,2.8%
OIL406,Ponoka County No. 3,Petrochemical Plant,279686 m3,656.9,14,86.0,4.2%,1.4%
OIL407,Regional Municipality of Wood Buffalo,Pipeline,409 km,814.41,20,88.2,6.1%,0.5%
OIL408,Inuvik,Storage Terminal,250569 m3,916.45,21,93.0,3.5%,0.5%
OIL409,Bonnyville M.D. No. 87,Pipeline,370 km,883.2,20,93.1,4.3%,0.6%
OIL410,Yellowhead County,Pipeline,66 km,837.94,17,92.8,2.7%,1.3%
OIL411,Whitehorse,Petrochemical Plant,292318 m3,717.71,21,79.5,9.5%,2.9%
OIL412,Yellowhead County,Petrochemical Plant,198441 m3,1191.43,26,85.8,7.4%,1.6%
OIL413,Edmonton,Petrochemical Plant,241366 m3,607.45,15,89.4,5.6%,1.2%
OIL414,Kugluktuk,Offshore Platform,90863 m3,673.94,15,77.6,14.4%,2.8%
OIL415,Edmonton,Petrochemical Plant,220863 m3,658.88,14,85.2,7.5%,1.9%
OIL416,Ponoka County No. 3,Refinery,194670 m3,692.37,16,85.5,9.0%,0.7%
OIL417,Redwater,Offshore Platform,218038 m3,1074.08,31,90.9,3.4%,0.5%
OIL418,Regional Municipality of Wood Buffalo,Offshore Platform,221389 m3,1163.61,30,84.0,10.4%,2.0%
OIL419,Kugluktuk,Petrochemical Plant,143078 m3,231.3,6,88.2,2.7%,0.5%
OIL420,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,128270 m3,840.6,26,82.2,11.5%,2.4%
OIL421,Inuvik,Pipeline,199 km,658.62,19,98.6,2.8%,0.9%
OIL422,Yellowhead County,Petrochemical Plant,163710 m3,569.63,17,87.0,5.6%,1.4%
OIL423,Yellowhead County,Pipeline,123 km,631.91,15,87.5,6.9%,1.3%
OIL424,Redwater,Pipeline,347 km,728.39,18,91.9,4.9%,1.8%
OIL425,Clearwater County,Storage Terminal,251194 m3,782.15,19,83.1,11.4%,2.5%
OIL426,Yellowhead County,Storage Terminal,199515 m3,868.19,18,88.8,4.2%,0.5%
OIL427,Sachs Harbour,Petrochemical Plant,99241 m3,777.87,17,90.4,4.1%,0.8%
OIL428,Ponoka County No. 3,Storage Terminal,233419 m3,644.99,19,93.7,7.0%,1.4%
OIL429,Ponoka County No. 3,Refinery,184164 m3,921.69,25,87.3,6.0%,0.5%
OIL430,Peace River,Refinery,220948 m3,449.63,12,92.8,5.8%,0.6%
OIL431,Inuvik,Petrochemical Plant,178867 m3,599.56,13,81.1,8.4%,2.2%
OIL432,Kugluktuk,Refinery,133793 m3,994.6,25,86.5,5.1%,0.6%
OIL433,Redwater,Refinery,277916 m3,921.04,26,92.2,4.3%,1.8%
OIL434,Fort Simpson,Refinery,295889 m3,676.47,22,92.4,8.3%,0.9%
OIL435,Athabasca County,Pipeline,444 km,1093.92,28,94.7,1.2%,0.6%
OIL436,Redwater,Offshore Platform,183609 m3,890.25,24,84.8,9.9%,1.6%
OIL437,Yellowhead County,Petrochemical Plant,198725 m3,856.75,18,83.6,10.7%,2.0%
OIL438,Redwater,Refinery,95256 m3,906.7,26,89.9,4.9%,1.9%
OIL439,Dawson City,Storage Terminal,98803 m3,690.83,15,90.9,4.7%,0.6%
OIL440,Lac La Biche County,Petrochemical Plant,299737 m3,987.58,28,87.7,6.7%,1.7%
OIL441,Inuvik,Storage Terminal,129267 m3,976.22,27,93.5,2.3%,0.5%
OIL442,Ponoka County No. 3,Offshore Platform,59615 m3,901.43,24,80.4,12.2%,2.1%
OIL443,Fort Providence; Kakisa,Storage Terminal,239327 m3,783.32,10,92.7,3.0%,0.5%
OIL444,Athabasca County,Pipeline,294 km,587.42,12,97.4,3.6%,1.1%
OIL445,Whitehorse,Petrochemical Plant,294936 m3,1066.44,27,93.2,1.2%,0.5%
OIL446,M.D. of Opportunity No. 17,Storage Terminal,114427 m3,530.83,13,91.1,6.6%,2.0%
OIL447,Edmonton,Offshore Platform,199696 m3,747.78,13,84.5,3.7%,1.8%
OIL448,M.D. of Opportunity No. 17,Offshore Platform,228363 m3,957.26,25,80.9,11.8%,3.5%
OIL449,Kugluktuk,Offshore Platform,136005 m3,935.9,27,82.0,11.1%,1.9%
OIL450,Sachs Harbour,Storage Terminal,159767 m3,940.84,31,87.4,4.6%,0.6%
OIL451,Lac La Biche County,Offshore Platform,120411 m3,649.86,16,84.7,7.3%,1.2%
OIL452,Fort Providence; Kakisa,Storage Terminal,185909 m3,835.73,18,91.7,4.2%,0.7%
OIL453,Yellowhead County,Offshore Platform,138422 m3,526.84,13,87.0,10.1%,1.5%
OIL454,Clearwater County,Petrochemical Plant,136133 m3,768.89,21,87.7,3.8%,1.2%
OIL455,Clyde River,Petrochemical Plant,157286 m3,954.17,19,91.3,3.3%,0.6%
OIL456,Whitehorse,Storage Terminal,85932 m3,655.59,16,94.2,5.9%,1.9%
OIL457,Fort Providence; Kakisa,Pipeline,56 km,880.1,22,91.7,1.8%,0.5%
OIL458,Fort Simpson,Pipeline,50 km,1098.08,29,88.3,6.1%,1.3%
OIL459,Kugluktuk,Pipeline,120 km,999.17,26,84.6,9.5%,2.1%
OIL460,Edmonton,Pipeline,195 km,815.63,24,92.7,6.4%,0.5%
OIL461,Edmonton,Refinery,74495 m3,1040.5,27,87.8,4.4%,1.2%
OIL462,Lutsel K’e,Petrochemical Plant,123984 m3,913.95,20,80.5,12.3%,2.6%
OIL463,Fort Saskatchewan,Petrochemical Plant,293229 m3,755.51,25,84.3,7.0%,0.7%
OIL464,Inuvik,Refinery,199762 m3,1105.86,27,82.6,9.4%,2.6%
OIL465,Athabasca County,Storage Terminal,91850 m3,444.8,14,91.0,7.3%,2.6%
OIL466,Clearwater County,Petrochemical Plant,125318 m3,914.74,25,85.4,6.7%,0.5%
OIL467,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,491 km,1080.08,29,85.8,7.4%,1.7%
OIL468,Yellowhead County,Offshore Platform,96418 m3,639.01,13,88.3,2.5%,1.4%
OIL469,Dawson City,Offshore Platform,190167 m3,634.21,14,84.1,7.9%,1.4%
OIL470,Whitehorse,Pipeline,365 km,1350.14,32,90.7,-0.6%,0.6%
OIL471,Peace River,Pipeline,355 km,781.72,19,92.2,1.8%,0.5%
OIL472,Fort Saskatchewan,Petrochemical Plant,115066 m3,826.2,18,87.4,4.1%,1.7%
OIL473,Sachs Harbour,Storage Terminal,175659 m3,597.88,13,96.1,3.3%,0.5%
OIL474,Clearwater County,Storage Terminal,116677 m3,686.77,13,92.0,2.1%,0.5%
OIL475,Redwater,Petrochemical Plant,145345 m3,1093.29,31,85.2,9.2%,3.3%
OIL476,Athabasca County,Offshore Platform,158369 m3,764.24,17,88.3,4.3%,1.6%
OIL477,Fort Simpson,Petrochemical Plant,102349 m3,831.94,20,86.0,4.9%,1.3%
OIL478,Inuvik,Storage Terminal,226111 m3,301.35,6,97.5,0.8%,0.5%
OIL479,Dawson City,Offshore Platform,230074 m3,433.66,8,91.0,8.2%,2.4%
OIL480,Ponoka County No. 3,Storage Terminal,153889 m3,528.36,13,83.3,8.4%,1.3%
OIL481,Lutsel K’e,Petrochemical Plant,262792 m3,931.39,26,86.0,11.9%,1.2%
OIL482,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Storage Terminal,204536 m3,486.43,10,86.1,8.6%,1.2%
OIL483,Fort Providence; Kakisa,Petrochemical Plant,157594 m3,928.11,24,86.5,4.2%,0.9%
OIL484,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,100210 m3,1224.11,30,87.2,8.3%,1.9%
OIL485,Dawson City,Offshore Platform,106344 m3,864.16,22,79.9,10.6%,1.3%
OIL486,Regional Municipality of Wood Buffalo,Pipeline,430 km,650.16,21,98.7,1.8%,0.5%
OIL487,Clearwater County,Storage Terminal,136971 m3,482.21,16,88.3,7.4%,0.7%
OIL488,Clearwater County,Storage Terminal,243604 m3,557.99,21,84.1,10.5%,3.6%
OIL489,Strathcona County,Petrochemical Plant,65689 m3,720.5,17,81.4,11.5%,1.1%
OIL490,Bonnyville M.D. No. 87,Refinery,237899 m3,527.42,16,91.1,2.8%,0.5%
OIL491,Sachs Harbour,Petrochemical Plant,198630 m3,491.93,8,85.2,5.6%,1.6%
OIL492,Bonnyville,Offshore Platform,290313 m3,590.44,14,83.2,10.5%,1.2%
OIL493,Dawson City,Pipeline,373 km,674.4,20,89.8,5.9%,1.3%
OIL494,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,193 km,811.35,17,91.9,2.4%,0.5%
OIL495,Strathcona County,Pipeline,240 km,659.87,19,90.3,6.6%,0.5%
OIL496,Dawson City,Refinery,157803 m3,943.65,25,89.2,7.8%,1.3%
OIL497,Sachs Harbour,Offshore Platform,92771 m3,989.47,23,82.0,9.4%,2.9%
OIL498,Ponoka County No. 3,Offshore Platform,100906 m3,1066.32,26,84.8,8.6%,1.8%
OIL499,M.D. of Opportunity No. 17,Refinery,252211 m3,452.12,13,93.8,2.9%,0.5%
OIL500,Peace River,Petrochemical Plant,100492 m3,320.5,11,85.7,6.0%,1.3%
OIL501,Edmonton,Refinery,120990 m3,759.23,17,86.5,7.8%,2.3%
OIL502,Regional Municipality of Wood Buffalo,Petrochemical Plant,191215 m3,868.38,22,80.3,9.1%,1.6%
OIL503,Bonnyville,Petrochemical Plant,173800 m3,763.71,19,91.0,7.9%,2.1%
OIL504,Whitehorse,Petrochemical Plant,57951 m3,723.61,19,90.5,3.9%,0.5%
OIL505,Kugluktuk,Petrochemical Plant,187126 m3,979.32,19,87.0,6.5%,1.6%
OIL506,Sachs Harbour,Pipeline,246 km,768.13,21,100.0,1.7%,0.5%
OIL507,Edmonton,Pipeline,67 km,615.24,18,87.9,8.3%,1.3%
OIL508,M.D. of Opportunity No. 17,Storage Terminal,60345 m3,755.37,19,88.2,4.8%,1.5%
OIL509,Lac La Biche County,Petrochemical Plant,238841 m3,862.29,23,86.6,6.8%,1.7%
OIL510,Fort Providence; Kakisa,Refinery,66576 m3,428.25,10,91.7,3.3%,1.0%
OIL511,Clyde River,Offshore Platform,112894 m3,515.77,11,82.9,10.6%,2.4%
OIL512,Yellowhead County,Offshore Platform,284453 m3,648.06,11,86.9,2.9%,0.5%
OIL513,Fort Simpson,Petrochemical Plant,239938 m3,655.55,15,82.8,6.5%,1.3%
OIL514,Inuvik,Offshore Platform,131463 m3,689.89,14,80.2,13.3%,1.6%
OIL515,Inuvik,Refinery,52895 m3,731.68,18,88.3,10.8%,4.0%
OIL516,Regional Municipality of Wood Buffalo,Refinery,74700 m3,547.26,17,87.2,4.4%,1.9%
OIL517,Yellowhead County,Petrochemical Plant,85897 m3,755.87,17,85.0,7.3%,0.9%
OIL518,Ponoka County No. 3,Offshore Platform,160776 m3,775.25,19,92.5,3.8%,1.5%
OIL519,Peace River,Petrochemical Plant,53225 m3,924.79,27,83.9,12.3%,2.9%
OIL520,Fort Saskatchewan,Offshore Platform,76502 m3,908.46,23,90.1,6.0%,1.5%
OIL521,Regional Municipality of Wood Buffalo,Storage Terminal,292580 m3,606.39,14,87.5,4.8%,1.4%
OIL522,Clyde River,Offshore Platform,132203 m3,1134.78,28,79.3,9.3%,1.4%
OIL523,Lac La Biche County,Petrochemical Plant,196702 m3,723.44,14,87.5,4.8%,0.9%
OIL524,Lutsel K’e,Pipeline,478 km,1070.89,22,92.9,0.5%,0.5%
OIL525,Clearwater County,Storage Terminal,125069 m3,692.47,21,90.7,2.7%,0.5%
OIL526,Fort Saskatchewan,Petrochemical Plant,213991 m3,960.05,21,91.3,1.8%,0.7%
OIL527,Kugluktuk,Refinery,286538 m3,923.62,28,87.0,3.2%,0.6%
OIL528,Clearwater County,Refinery,181225 m3,835.11,23,82.4,7.9%,2.5%
OIL529,Dawson City,Pipeline,466 km,440.81,9,95.5,3.6%,0.5%
OIL530,Kugluktuk,Petrochemical Plant,106117 m3,1009.83,24,86.5,10.1%,1.4%
OIL531,Lac La Biche County,Storage Terminal,61397 m3,572.91,16,91.2,7.6%,1.6%
OIL532,Ponoka County No. 3,Storage Terminal,170382 m3,631.01,16,86.1,10.1%,1.9%
OIL533,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Storage Terminal,71209 m3,1171.1,30,88.6,2.5%,0.7%
OIL534,Peace River,Storage Terminal,89041 m3,562.51,15,87.1,9.5%,2.7%
OIL535,Kugluktuk,Offshore Platform,167409 m3,805.27,22,79.7,10.1%,1.4%
OIL536,Lutsel K’e,Offshore Platform,156471 m3,1016.89,29,84.7,9.4%,0.9%
OIL537,Peace River,Offshore Platform,159636 m3,744.0,15,87.1,4.8%,0.5%
OIL538,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,283876 m3,904.11,25,90.0,5.8%,1.5%
OIL539,Bonnyville,Refinery,266715 m3,1062.86,27,88.5,5.4%,1.1%
OIL540,Strathcona County,Petrochemical Plant,173745 m3,794.43,24,81.0,9.7%,2.2%
OIL541,Sachs Harbour,Petrochemical Plant,176218 m3,1072.51,32,99.6,-2.0%,0.5%
OIL542,Fort Simpson,Storage Terminal,73004 m3,818.04,21,80.3,10.7%,3.1%
OIL543,Redwater,Refinery,124205 m3,386.98,10,79.7,9.5%,2.7%
OIL544,Fort Saskatchewan,Offshore Platform,113753 m3,745.94,15,90.0,3.9%,0.5%
OIL545,M.D. of Opportunity No. 17,Offshore Platform,227169 m3,702.35,19,85.1,4.6%,1.2%
OIL546,Athabasca County,Refinery,154504 m3,665.16,20,87.1,5.4%,0.5%
OIL547,Whitehorse,Offshore Platform,210625 m3,1058.04,23,89.8,2.0%,0.5%
OIL548,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Offshore Platform,164881 m3,517.69,18,88.2,7.6%,0.7%
OIL549,Dawson City,Refinery,157798 m3,650.52,15,87.3,4.6%,0.7%
OIL550,Inuvik,Petrochemical Plant,75938 m3,546.18,16,85.3,8.8%,2.5%
OIL551,Athabasca County,Storage Terminal,54763 m3,1026.23,26,94.3,2.2%,0.5%
OIL552,Ponoka County No. 3,Petrochemical Plant,127129 m3,882.29,19,90.7,6.4%,1.0%
OIL553,Lac La Biche County,Storage Terminal,79087 m3,981.96,20,88.5,3.7%,0.7%
OIL554,Bonnyville,Petrochemical Plant,137892 m3,827.73,17,86.6,6.1%,1.4%
OIL555,Kugluktuk,Petrochemical Plant,194233 m3,788.25,18,87.3,6.5%,1.2%
OIL556,Inuvik,Storage Terminal,209031 m3,815.96,20,84.7,10.4%,1.2%
OIL557,Fort Providence; Kakisa,Storage Terminal,149508 m3,1046.95,23,92.4,2.6%,0.6%
OIL558,Dawson City,Refinery,252123 m3,675.02,16,86.5,3.9%,0.6%
OIL559,Clyde River,Petrochemical Plant,223364 m3,664.75,13,84.6,10.5%,3.1%
OIL560,Strathcona County,Storage Terminal,221635 m3,725.46,17,82.4,7.9%,0.9%
OIL561,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,78333 m3,1136.87,31,91.8,2.7%,0.5%
OIL562,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,154234 m3,800.46,23,85.0,8.7%,3.1%
OIL563,Yellowhead County,Offshore Platform,221459 m3,769.87,20,91.5,3.9%,0.5%
OIL564,Lutsel K’e,Storage Terminal,62126 m3,764.23,18,91.7,3.1%,1.0%
OIL565,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,207732 m3,713.45,20,86.8,6.1%,0.9%
OIL566,Lac La Biche County,Pipeline,477 km,1101.65,27,89.3,1.4%,0.5%
OIL567,Strathcona County,Refinery,116917 m3,1067.56,24,83.7,8.3%,3.1%
OIL568,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,194 km,930.73,22,93.4,8.0%,1.1%
OIL569,Dawson City,Storage Terminal,245889 m3,768.02,22,83.2,13.7%,3.0%
OIL570,Peace River,Storage Terminal,71395 m3,486.87,15,90.5,4.4%,0.5%
OIL571,Clearwater County,Petrochemical Plant,209762 m3,822.11,19,89.0,-0.2%,0.5%
OIL572,Lutsel K’e,Offshore Platform,238788 m3,748.38,21,85.6,6.6%,1.0%
