Project ID,Region,Length (km),Delivery Model,CapEx ($M),Duration (months),Schedule Slip (%),Safety Incidents,Carbon Intensity (tCO2e/km)
RAIL401,Africa,27.2,Design-Bid-Build,959.3,35,1.3,15,627
RAIL402,Australia,74.8,Alliance,104.3,45,9.5,0,802
RAIL403,South America,76.5,PPP,0.1,42,6.6,0,883
RAIL404,Asia,58.7,PPP,356.7,9,-0.8,3,715
RAIL405,South America,71.5,DBFOM,2846.4,54,-3.1,20,829
RAIL406,Africa,65.8,EPC,235.5,51,-1.3,3,926
RAIL407,Europe,61.2,DBFOM,4771.5,43,0.4,42,759
RAIL408,USA,53.0,PPP,1178.8,24,-0.7,10,814
RAIL409,Asia,14.2,DBFOM,938.0,2,6.6,10,688
RAIL410,USA,70.7,DBFOM,269.7,30,3.5,0,909
RAIL411,Australia,52.5,Alliance,1035.9,47,-6.0,14,769
RAIL412,Australia,27.1,EPC,98.4,18,6.7,1,1072
RAIL413,South America,54.9,Design-Bid-Build,638.8,33,-0.3,6,650
RAIL414,Africa,30.1,Design-Bid-Build,32.4,60,-1.4,1,957
RAIL415,Asia,54.4,Alliance,54.4,62,-8.3,0,758
RAIL416,Africa,41.8,PPP,249.8,12,-2.7,1,883
RAIL417,Africa,91.1,Alliance,419.5,11,-2.4,6,798
RAIL418,Africa,77.3,DBFOM,342.2,62,2.3,1,938
RAIL419,Asia,46.3,PPP,1348.4,47,-1.4,18,544
RAIL420,Europe,6.7,Design-Bid-Build,431.7,6,1.8,6,498
RAIL421,Australia,78.3,Design-Bid-Build,505.0,127,-6.0,3,709
RAIL422,South America,12.2,DBFOM,1298.6,60,-0.7,10,582
RAIL423,Africa,41.3,PPP,1536.4,11,-2.4,9,707
RAIL424,Asia,51.4,Alliance,155.3,23,5.6,1,833
RAIL425,Australia,55.3,EPC,7527.3,3,-1.0,60,911
RAIL426,Australia,52.7,DBFOM,1070.6,82,-4.7,12,965
RAIL427,Asia,35.2,DBFOM,1324.3,42,-4.6,22,616
RAIL428,Canada,53.7,DBFOM,54.8,11,2.4,0,1206
RAIL429,Africa,33.8,PPP,316.3,20,6.6,7,660
RAIL430,South America,51.1,Alliance,603.6,29,-3.7,4,550
RAIL431,Europe,67.8,Alliance,222.3,63,-1.1,1,544
RAIL432,Canada,47.4,Alliance,4669.7,50,1.4,45,752
RAIL433,Canada,31.0,DBFOM,601.5,32,4.5,5,1155
RAIL434,Asia,33.0,DBFOM,1117.6,10,-6.6,10,818
RAIL435,South America,31.2,Design-Bid-Build,2867.7,49,-1.2,29,709
RAIL436,Africa,47.0,DBFOM,374.3,117,1.8,3,812
RAIL437,South America,46.1,EPC,1134.7,53,-0.7,6,950
RAIL438,South America,55.7,DBFOM,118.2,15,-2.6,2,1035
RAIL439,Europe,56.1,DBFOM,792.7,17,-2.4,4,736
RAIL440,USA,38.0,PPP,292.7,48,7.0,3,876
RAIL441,USA,56.6,Alliance,57.3,76,5.3,2,908
RAIL442,South America,32.3,PPP,3359.6,65,1.7,29,692
RAIL443,Africa,62.6,EPC,2211.3,41,-6.1,19,717
RAIL444,USA,26.4,Design-Bid-Build,5704.1,48,2.2,51,619
RAIL445,Asia,41.1,PPP,384.1,87,1.8,4,914
RAIL446,Africa,42.9,Alliance,90.0,38,2.2,0,762
RAIL447,Canada,28.0,Design-Bid-Build,4795.6,15,-3.1,41,836
RAIL448,USA,75.6,Design-Bid-Build,7112.8,13,1.1,77,791
RAIL449,Canada,32.9,EPC,3049.9,25,-5.9,30,625
RAIL450,Canada,31.7,DBFOM,1466.9,70,-3.9,12,571
RAIL451,USA,60.7,Design-Bid-Build,828.6,35,3.4,9,668
RAIL452,Canada,75.5,EPC,526.7,62,4.9,5,723
RAIL453,USA,36.6,Alliance,1871.9,73,8.2,17,884
RAIL454,Africa,98.7,Design-Bid-Build,784.2,21,-3.1,7,1088
RAIL455,South America,46.4,Alliance,143.0,36,0.2,1,947
RAIL456,South America,9.4,Design-Bid-Build,13.8,50,2.5,1,1161
RAIL457,Europe,80.9,Alliance,6555.2,48,1.1,65,692
RAIL458,Europe,73.8,PPP,3642.3,13,3.3,34,803
RAIL459,Asia,75.6,Design-Bid-Build,0.1,13,-4.3,0,744
RAIL460,Europe,65.6,Design-Bid-Build,2899.5,60,-0.8,32,1016
RAIL461,Australia,67.9,EPC,7556.5,10,-2.1,72,766
RAIL462,Africa,42.0,Design-Bid-Build,35.1,85,8.1,1,739
RAIL463,South America,64.5,Alliance,124.4,74,4.4,1,885
RAIL464,USA,52.1,EPC,97.3,27,2.1,0,986
RAIL465,Canada,57.7,Alliance,1430.5,32,1.8,12,829
RAIL466,South America,98.4,DBFOM,1705.7,63,5.2,17,621
RAIL467,Europe,63.9,Design-Bid-Build,8394.4,39,-1.3,83,597
RAIL468,Africa,88.0,Alliance,2040.2,11,-4.4,19,660
RAIL469,Asia,72.0,PPP,1951.8,4,7.7,18,846
RAIL470,Canada,48.8,PPP,3873.4,36,4.1,27,782
RAIL471,Asia,72.5,EPC,128.2,24,6.6,3,543
RAIL472,Australia,81.0,DBFOM,41.8,35,2.6,0,991
RAIL473,USA,29.2,DBFOM,388.7,49,7.5,3,920
RAIL474,Europe,27.6,DBFOM,6135.3,3,8.5,67,796
RAIL475,South America,62.4,EPC,582.7,87,-1.3,3,802
RAIL476,Canada,31.2,Design-Bid-Build,1346.5,46,0.5,18,692
RAIL477,USA,65.3,Design-Bid-Build,2734.5,85,-1.9,24,1061
RAIL478,USA,44.2,EPC,721.0,28,-3.3,8,887
RAIL479,USA,59.9,PPP,379.6,23,2.7,1,845
RAIL480,USA,88.7,PPP,550.5,4,5.7,9,1064
RAIL481,Australia,52.7,EPC,258.7,119,-7.0,6,1102
RAIL482,USA,91.9,Alliance,2875.5,19,2.9,24,787
RAIL483,USA,56.6,Design-Bid-Build,118.8,36,-5.6,1,928
RAIL484,South America,64.6,PPP,2141.5,54,5.9,16,747
RAIL485,Asia,29.3,PPP,2198.8,73,-1.6,22,860
RAIL486,Australia,51.2,EPC,2047.2,53,3.2,22,797
RAIL487,Australia,82.1,Alliance,2234.2,28,-0.3,27,809
RAIL488,Australia,11.9,Alliance,573.3,8,-1.3,5,722
RAIL489,Europe,78.7,DBFOM,736.7,63,-3.3,7,792
RAIL490,USA,42.3,DBFOM,390.1,47,4.4,3,972
RAIL491,USA,63.3,Alliance,22.9,48,2.8,1,970
RAIL492,Asia,81.6,Design-Bid-Build,3114.7,63,-0.8,21,795
RAIL493,Canada,43.0,EPC,2773.7,51,-5.5,26,715
RAIL494,Europe,80.6,DBFOM,542.8,51,1.0,10,612
RAIL495,Asia,82.6,Design-Bid-Build,5194.5,15,-5.4,71,878
RAIL496,Europe,56.4,DBFOM,1576.4,40,-7.0,9,777
RAIL497,Asia,70.4,PPP,1349.7,82,0.3,12,1126
RAIL498,Asia,70.3,Design-Bid-Build,2310.2,13,-3.1,30,670
RAIL499,Europe,31.3,Design-Bid-Build,22.4,15,-5.9,1,1044
RAIL500,Africa,35.3,PPP,6466.9,16,8.4,65,806
RAIL501,Europe,53.4,PPP,2201.0,70,-0.0,27,839
RAIL502,USA,5.0,Alliance,928.2,46,3.7,10,688
RAIL503,Europe,16.8,EPC,5669.6,13,1.3,45,714
RAIL504,USA,51.2,DBFOM,546.3,71,-2.5,8,787
RAIL505,Asia,45.9,PPP,4215.4,42,2.4,20,892
RAIL506,Africa,64.3,PPP,220.4,16,12.7,1,838
RAIL507,Australia,74.4,EPC,2088.4,63,6.6,12,1060
RAIL508,USA,63.2,Design-Bid-Build,86.6,3,-0.1,2,691
RAIL509,Africa,27.2,PPP,1614.1,49,-6.2,16,702
RAIL510,Asia,5.0,EPC,239.0,50,0.2,3,902
RAIL511,Africa,55.4,EPC,323.0,75,-1.3,4,799
RAIL512,USA,61.1,Design-Bid-Build,844.2,15,-3.8,8,936
RAIL513,Australia,24.2,Alliance,518.9,49,-9.8,6,381
RAIL514,South America,39.2,Design-Bid-Build,244.5,21,3.3,3,537
RAIL515,USA,13.7,EPC,3387.7,23,3.5,30,683
RAIL516,Australia,29.4,Design-Bid-Build,603.8,97,2.8,6,857
RAIL517,Europe,40.5,PPP,1317.2,52,-2.8,7,678
RAIL518,South America,43.7,DBFOM,299.8,13,-1.0,0,804
RAIL519,Africa,40.8,Alliance,134.1,18,-4.9,1,716
RAIL520,USA,56.8,EPC,1989.0,83,1.8,19,565
RAIL521,Asia,81.5,Alliance,3880.2,29,8.1,47,625
RAIL522,USA,80.7,PPP,1246.7,9,-9.0,11,629
RAIL523,Asia,37.1,EPC,223.0,53,-1.2,1,598
RAIL524,USA,39.1,Alliance,36.2,28,-0.2,1,530
RAIL525,Canada,45.0,EPC,185.1,65,3.0,2,531
RAIL526,Asia,58.9,Alliance,396.6,24,3.4,3,1096
RAIL527,Canada,44.1,Alliance,397.1,11,-0.4,5,1024
RAIL528,Australia,37.4,Design-Bid-Build,26.0,32,1.0,1,1024
RAIL529,Asia,39.7,EPC,1536.2,36,-5.4,10,623
RAIL530,Africa,29.5,EPC,472.2,34,-5.3,2,841
RAIL531,Canada,49.2,PPP,7839.2,5,8.8,78,1078
RAIL532,Australia,50.0,DBFOM,8181.8,28,1.7,61,817
RAIL533,Australia,44.7,DBFOM,1284.6,35,-4.4,13,863
RAIL534,Australia,34.5,EPC,11.4,50,7.3,0,729
RAIL535,Australia,76.8,DBFOM,540.2,77,6.8,3,802
RAIL536,South America,35.1,PPP,951.8,15,7.6,15,996
RAIL537,Europe,29.2,EPC,1475.0,15,0.5,15,959
RAIL538,USA,33.1,DBFOM,2484.3,25,9.8,21,654
RAIL539,Australia,64.0,DBFOM,2757.3,20,0.2,29,607
RAIL540,South America,68.9,Alliance,1073.0,48,1.8,7,875
RAIL541,Australia,62.9,PPP,995.7,13,5.4,11,869
RAIL542,Asia,54.4,PPP,202.9,74,-1.3,2,999
RAIL543,Europe,49.1,DBFOM,30.5,1,0.9,0,658
RAIL544,Canada,41.0,Alliance,948.9,38,4.8,11,968
RAIL545,USA,49.0,PPP,345.5,12,4.7,9,607
RAIL546,Australia,55.1,EPC,335.9,59,-0.3,1,931
RAIL547,South America,45.1,Alliance,432.3,15,1.4,4,561
RAIL548,Africa,105.4,DBFOM,997.5,47,-0.9,8,1076
RAIL549,USA,28.6,PPP,1968.7,130,-1.9,8,922
RAIL550,Canada,70.3,DBFOM,1097.8,74,2.9,9,1011
RAIL551,USA,72.3,EPC,867.4,76,7.5,8,1016
RAIL552,Canada,85.8,PPP,1340.8,31,-7.3,12,791
RAIL553,Africa,25.3,Alliance,5419.4,74,0.9,58,750
RAIL554,Australia,29.5,Design-Bid-Build,1864.1,214,-1.5,25,563
RAIL555,Australia,68.3,Alliance,28.4,9,-4.4,0,715
RAIL556,Europe,83.9,Design-Bid-Build,194.8,50,-4.5,1,666
RAIL557,Africa,75.9,DBFOM,133.1,9,-2.5,0,1069
RAIL558,Asia,56.1,DBFOM,1099.5,79,0.1,13,1044
RAIL559,Australia,26.1,Alliance,3711.8,47,-10.5,39,1021
RAIL560,Europe,65.8,EPC,1085.4,36,-10.6,10,719
RAIL561,Africa,46.7,Alliance,1667.5,67,-7.8,18,860
RAIL562,USA,51.6,PPP,0.1,46,-7.9,0,775
RAIL563,Asia,51.0,DBFOM,449.1,18,-6.1,2,765
RAIL564,Europe,46.4,DBFOM,1245.8,81,0.1,16,793
RAIL565,Asia,101.3,Alliance,28.4,37,3.5,1,814
RAIL566,USA,17.4,PPP,2189.4,104,-3.8,30,830
RAIL567,Australia,28.7,EPC,2053.5,32,4.4,21,857
RAIL568,Africa,38.7,EPC,1416.9,106,4.5,11,661
RAIL569,Asia,40.9,Design-Bid-Build,1142.7,10,-3.2,14,928
RAIL570,USA,56.3,PPP,2.7,51,-6.5,0,981
RAIL571,Europe,39.9,PPP,3859.4,29,-1.1,35,854
RAIL572,USA,89.0,EPC,2957.0,19,4.3,31,742
RAIL573,Europe,74.0,PPP,313.5,43,-9.0,3,555
RAIL574,Canada,16.7,EPC,173.2,2,7.5,2,888
RAIL575,Canada,86.5,Design-Bid-Build,837.9,36,-0.3,7,579
RAIL576,Australia,42.8,EPC,461.4,6,6.7,5,701
RAIL577,USA,69.8,Alliance,5135.7,22,-4.5,52,731
RAIL578,Canada,31.5,PPP,645.9,36,2.9,13,729
RAIL579,Asia,16.9,DBFOM,878.8,61,-5.9,6,943
RAIL580,Africa,80.1,Alliance,1290.8,38,3.5,13,914
RAIL581,Europe,54.6,EPC,4714.5,25,-0.4,42,616
RAIL582,Africa,22.5,Design-Bid-Build,219.7,99,-11.2,2,1032
RAIL583,South America,62.8,Alliance,4794.5,48,2.1,41,587
RAIL584,Europe,27.0,EPC,1246.4,140,-5.0,8,836
RAIL585,Canada,64.0,DBFOM,0.1,59,-1.1,1,643
RAIL586,USA,50.2,PPP,35.9,12,-7.0,0,825
RAIL587,Asia,39.1,EPC,603.6,66,1.6,4,655
RAIL588,Europe,61.5,EPC,958.3,20,1.2,7,774
RAIL589,Australia,56.7,DBFOM,495.5,76,-4.1,6,611
RAIL590,USA,39.2,Design-Bid-Build,297.6,34,-0.6,2,952
RAIL591,Europe,76.2,Design-Bid-Build,17.0,36,-2.7,3,872
RAIL592,Canada,34.8,Alliance,453.1,26,-3.4,1,710
RAIL593,USA,41.0,PPP,2038.2,19,-4.4,23,1149
RAIL594,South America,42.9,Design-Bid-Build,0.1,5,-6.8,1,788
RAIL595,Asia,26.9,PPP,1024.3,45,-2.3,10,964
RAIL596,Australia,32.7,PPP,1379.1,23,2.8,14,696
RAIL597,Canada,73.6,Alliance,1764.4,34,3.2,16,794
RAIL598,Africa,85.8,PPP,336.4,62,-0.3,1,941
RAIL599,Europe,70.3,Alliance,6198.1,59,2.0,69,765
RAIL600,USA,29.6,Design-Bid-Build,3223.6,73,-5.0,39,862
RAIL601,Australia,37.1,Alliance,802.4,121,10.4,7,836
RAIL602,Australia,68.0,PPP,17.4,73,1.9,0,730
RAIL603,Canada,8.6,Design-Bid-Build,0.4,34,-2.7,0,944
RAIL604,Canada,59.1,DBFOM,355.0,35,4.7,1,850
RAIL605,South America,20.5,DBFOM,465.2,5,-4.9,10,456
RAIL606,Australia,51.9,PPP,1143.9,47,-8.1,12,763
RAIL607,Africa,51.6,Design-Bid-Build,3026.7,74,5.4,30,583
RAIL608,South America,75.9,EPC,577.9,40,6.8,4,758
RAIL609,USA,43.3,Design-Bid-Build,422.4,127,-0.4,5,995
RAIL610,Africa,100.9,PPP,229.8,53,0.2,4,638
RAIL611,Europe,46.3,Design-Bid-Build,7479.4,8,-0.2,55,666
RAIL612,Asia,19.9,Alliance,13.7,14,0.6,1,1035
RAIL613,USA,43.5,DBFOM,1507.2,24,-3.3,18,776
RAIL614,South America,11.6,Design-Bid-Build,231.0,6,-4.0,4,800
RAIL615,Africa,34.1,PPP,643.4,50,1.3,7,610
RAIL616,Australia,42.9,PPP,341.8,5,2.1,2,822
RAIL617,Africa,58.4,EPC,6327.1,25,3.7,70,895
RAIL618,Asia,84.6,DBFOM,3085.7,48,-0.7,28,878
RAIL619,South America,46.3,Alliance,1245.0,10,6.2,15,635
RAIL620,Africa,30.4,Alliance,1253.2,46,-1.6,14,1074
RAIL621,Canada,59.4,PPP,509.3,17,2.1,3,513
RAIL622,Africa,98.2,EPC,277.0,85,-4.6,1,534
RAIL623,Australia,52.7,EPC,400.7,17,1.3,5,829
RAIL624,Africa,34.3,PPP,63.3,24,-0.5,0,524
RAIL625,Asia,35.8,DBFOM,444.2,81,5.7,4,859
RAIL626,Asia,56.8,Alliance,74.2,4,-0.3,1,753
RAIL627,Asia,33.2,EPC,4764.2,84,-4.6,41,972
RAIL628,USA,58.0,EPC,7041.5,66,-4.1,60,827
RAIL629,USA,42.2,PPP,843.4,63,5.3,5,860
RAIL630,Australia,51.8,EPC,536.0,65,0.9,3,966
RAIL631,Australia,25.7,EPC,204.1,5,1.3,4,728
RAIL632,USA,68.7,PPP,3686.0,79,4.3,31,831
RAIL633,Australia,56.7,EPC,649.3,76,2.3,11,816
RAIL634,Europe,37.0,Alliance,372.1,115,7.9,2,858
RAIL635,Canada,54.9,EPC,1630.6,51,-2.5,14,634
RAIL636,Europe,26.8,PPP,1205.4,29,4.0,14,970
RAIL637,Africa,37.5,DBFOM,959.4,60,9.2,10,994
RAIL638,Asia,52.4,Alliance,1042.6,62,4.8,8,977
RAIL639,Canada,62.7,DBFOM,758.7,113,-3.4,6,764
RAIL640,USA,45.6,Alliance,1698.0,15,-4.9,16,804
RAIL641,South America,60.2,EPC,2467.8,47,3.2,21,879
RAIL642,Asia,25.3,DBFOM,2936.9,24,3.7,30,850
RAIL643,South America,65.2,Design-Bid-Build,518.7,47,1.7,9,860
RAIL644,South America,52.0,DBFOM,11873.9,12,1.2,113,988
RAIL645,Canada,32.6,Design-Bid-Build,826.7,39,-5.9,9,544
RAIL646,South America,53.7,DBFOM,5825.6,46,2.7,46,622
RAIL647,South America,71.0,Alliance,833.9,2,2.0,12,910
RAIL648,Asia,38.0,Design-Bid-Build,3903.8,127,0.5,29,924
RAIL649,Canada,78.9,EPC,1660.4,58,0.3,18,719
RAIL650,Australia,31.3,DBFOM,1351.7,13,-2.9,13,741
RAIL651,South America,79.9,PPP,2292.4,37,-7.8,25,709
RAIL652,USA,43.1,DBFOM,2290.6,11,-8.7,26,640
RAIL653,Canada,50.4,EPC,222.1,3,-2.8,2,819
RAIL654,Africa,62.8,Alliance,725.6,49,-6.6,6,747
RAIL655,South America,58.9,PPP,1423.6,22,4.2,11,913
RAIL656,Australia,11.9,EPC,381.8,75,-2.1,3,935
RAIL657,USA,63.0,Alliance,2316.2,36,4.5,28,1003
RAIL658,Asia,69.8,DBFOM,385.8,42,-7.0,6,524
RAIL659,Africa,38.8,PPP,52.1,84,-7.7,1,843
RAIL660,Asia,33.5,PPP,1282.5,60,3.1,10,677
RAIL661,South America,44.4,PPP,1866.0,24,0.7,13,901
RAIL662,South America,33.0,Design-Bid-Build,4532.4,38,3.8,50,898
RAIL663,Asia,29.7,Alliance,8561.3,38,7.0,76,901
RAIL664,Africa,61.8,PPP,271.9,60,0.1,3,1124
RAIL665,Australia,38.6,DBFOM,1046.5,63,-7.0,8,669
RAIL666,Asia,32.4,DBFOM,113.8,38,4.9,2,1075
RAIL667,USA,64.4,EPC,506.2,71,1.8,6,966
RAIL668,USA,47.6,DBFOM,2133.6,24,-2.1,23,782
RAIL669,Australia,27.2,Design-Bid-Build,1542.0,50,-3.3,10,821
RAIL670,Africa,78.8,PPP,403.7,45,3.2,1,547
RAIL671,Africa,36.1,PPP,188.3,15,-2.4,4,699
RAIL672,Africa,70.7,Alliance,3304.0,109,-1.0,32,670
RAIL673,Canada,26.5,PPP,1046.2,13,3.6,4,968
RAIL674,Africa,18.8,PPP,2900.5,8,-4.1,25,665
RAIL675,Africa,6.3,DBFOM,2095.6,14,0.0,17,874
RAIL676,USA,5.0,EPC,2321.7,11,-2.0,18,931
RAIL677,USA,18.5,EPC,4547.2,14,-6.3,53,525
RAIL678,Africa,18.2,EPC,233.9,22,-0.9,3,761
RAIL679,USA,37.9,PPP,18.4,70,3.6,2,791
RAIL680,USA,68.6,EPC,1680.2,38,3.1,12,961
RAIL681,Asia,31.9,Alliance,2079.4,67,7.0,20,660
RAIL682,South America,95.1,DBFOM,1172.1,48,-3.3,13,515
RAIL683,Asia,40.5,Alliance,3588.4,12,2.2,31,667
RAIL684,Africa,58.7,EPC,3880.4,43,3.7,33,907
RAIL685,South America,95.1,Alliance,2693.7,10,-1.9,23,946
RAIL686,Asia,52.0,PPP,2335.7,62,1.8,30,872
RAIL687,Asia,10.9,Design-Bid-Build,128.1,4,6.1,1,810
RAIL688,Asia,53.3,PPP,2606.8,12,-4.8,24,1015
RAIL689,Australia,49.9,EPC,3378.7,15,0.7,49,860
RAIL690,Canada,41.6,Alliance,294.5,70,-6.1,2,810
RAIL691,South America,20.7,Design-Bid-Build,344.4,37,4.8,2,876
RAIL692,Canada,45.8,PPP,684.1,32,-0.4,5,868
RAIL693,Africa,81.6,Design-Bid-Build,364.6,8,-13.6,3,1072
RAIL694,Australia,17.2,Alliance,105.8,5,0.7,2,823
RAIL695,Africa,30.6,PPP,2127.0,16,-1.0,31,918
RAIL696,South America,28.6,Alliance,1276.7,47,4.5,14,1045
RAIL697,Canada,28.2,PPP,804.9,72,-4.3,9,884
RAIL698,USA,72.5,DBFOM,1524.6,58,-2.5,13,680
RAIL699,Canada,50.3,Alliance,972.5,50,-0.5,11,715
RAIL700,Canada,40.3,Alliance,536.7,10,-14.0,6,546
RAIL701,South America,30.5,PPP,414.6,35,2.5,5,1019
RAIL702,Europe,48.6,EPC,6754.3,76,-0.7,63,842
RAIL703,Africa,57.5,DBFOM,208.3,13,1.1,1,682
RAIL704,Australia,25.7,PPP,4978.8,61,0.6,48,835
RAIL705,Africa,58.6,Alliance,278.9,14,2.3,1,599
RAIL706,USA,50.0,Alliance,23.4,48,-0.7,0,747
RAIL707,Australia,50.6,EPC,175.8,60,2.3,2,674
RAIL708,Australia,31.3,Design-Bid-Build,346.1,15,2.1,2,888
RAIL709,Australia,63.3,EPC,2515.1,36,1.9,32,847
RAIL710,Africa,67.2,Design-Bid-Build,2000.8,61,3.6,17,707
RAIL711,Africa,60.3,Design-Bid-Build,343.4,25,7.7,6,740
RAIL712,Asia,28.1,Design-Bid-Build,1258.5,75,-8.6,12,815
RAIL713,Europe,52.2,EPC,622.7,47,4.3,9,893
RAIL714,Australia,7.6,PPP,342.3,16,-0.5,6,888
RAIL715,Africa,70.5,DBFOM,353.5,9,-8.6,3,879
RAIL716,South America,68.5,EPC,560.8,24,2.3,4,764
RAIL717,Canada,61.1,EPC,169.0,76,-1.3,2,712
RAIL718,South America,26.2,DBFOM,272.8,61,-3.1,1,714
RAIL719,Canada,26.0,EPC,364.8,48,0.7,6,558
RAIL720,Asia,11.6,Design-Bid-Build,2311.6,48,-0.6,27,738
RAIL721,South America,27.2,Alliance,555.8,37,1.3,9,755
RAIL722,Europe,56.7,DBFOM,2663.6,84,-5.7,25,867
RAIL723,Europe,51.2,DBFOM,3849.1,36,2.2,37,944
RAIL724,USA,59.5,PPP,343.3,12,-3.8,2,930
RAIL725,Australia,36.1,DBFOM,1100.0,73,1.4,13,870
RAIL726,Australia,15.8,Design-Bid-Build,3406.8,43,2.0,33,712
RAIL727,South America,90.8,Alliance,881.1,13,3.9,2,778
RAIL728,Africa,57.6,EPC,2.0,24,-4.2,1,638
RAIL729,Australia,52.9,Design-Bid-Build,13.6,50,11.6,0,1005
RAIL730,Canada,8.4,EPC,1285.6,48,-7.8,14,820
RAIL731,Australia,65.4,DBFOM,975.5,4,-5.5,9,508
RAIL732,South America,37.3,EPC,2236.0,19,-4.6,16,799
RAIL733,South America,37.2,DBFOM,1669.0,21,-2.5,17,935
RAIL734,Africa,45.6,Design-Bid-Build,2349.5,72,-3.6,20,935
RAIL735,Europe,61.7,Alliance,1849.7,16,-0.1,21,573
RAIL736,Africa,56.5,Alliance,655.8,214,4.3,3,647
RAIL737,Europe,40.5,Alliance,3765.3,130,-5.1,27,653
RAIL738,Europe,27.0,PPP,3077.8,47,6.5,34,576
RAIL739,South America,21.9,Design-Bid-Build,548.8,7,3.1,6,676
RAIL740,South America,37.1,Design-Bid-Build,141.8,63,0.9,0,889
RAIL741,Australia,64.0,DBFOM,11.4,49,-2.8,0,673
RAIL742,USA,45.7,PPP,2752.4,53,-3.3,24,706
RAIL743,Asia,64.1,DBFOM,126.8,13,-8.1,2,792
RAIL744,Canada,57.0,PPP,6013.2,65,4.3,64,584
RAIL745,USA,5.0,EPC,342.8,60,5.5,4,842
RAIL746,Africa,39.1,DBFOM,0.7,36,3.5,1,587
RAIL747,South America,18.1,PPP,1144.5,4,-10.9,12,707
RAIL748,Canada,5.0,Design-Bid-Build,3713.2,50,-0.0,37,685
RAIL749,Australia,61.3,EPC,4044.5,29,-2.1,43,733
RAIL750,Asia,48.7,DBFOM,725.3,38,13.0,8,1141
RAIL751,Asia,26.6,PPP,2615.9,38,2.9,27,860
RAIL752,Australia,35.8,Alliance,1759.7,50,-7.0,15,1027
RAIL753,Canada,30.5,Alliance,374.2,38,-3.0,5,711
RAIL754,Canada,36.7,Alliance,2310.5,12,-2.2,19,507
RAIL755,Europe,65.2,DBFOM,1184.4,15,-6.8,14,1017
RAIL756,USA,33.5,EPC,771.0,38,1.6,4,954
RAIL757,Africa,47.7,EPC,0.1,12,1.0,1,942
RAIL758,Africa,73.5,DBFOM,12.9,42,-11.1,1,857
RAIL759,Canada,67.5,Design-Bid-Build,165.8,13,-2.2,2,936
RAIL760,Australia,69.2,Design-Bid-Build,385.0,61,-0.0,5,1124
RAIL761,Africa,46.4,Alliance,7271.0,61,6.9,74,629
RAIL762,Africa,54.4,DBFOM,261.0,76,-0.6,6,755
RAIL763,Australia,53.7,Design-Bid-Build,2043.2,40,0.3,23,826
RAIL764,Canada,37.1,Design-Bid-Build,976.2,73,3.8,9,487
RAIL765,Europe,65.1,Design-Bid-Build,56.0,50,1.4,0,839
RAIL766,Europe,84.0,DBFOM,25.2,15,0.4,0,752
RAIL767,Canada,58.8,Design-Bid-Build,155.9,84,6.9,1,658
RAIL768,Canada,56.7,DBFOM,54.9,25,2.9,0,657
RAIL769,Africa,54.6,DBFOM,2117.3,39,-9.4,15,807
RAIL770,USA,16.8,EPC,1261.9,10,0.1,15,780
RAIL771,USA,67.8,EPC,338.2,18,-0.3,4,787
RAIL772,Canada,40.2,Design-Bid-Build,255.4,21,-0.2,5,730
RAIL773,Australia,65.4,Design-Bid-Build,34.7,50,-2.4,1,797
RAIL774,South America,72.6,Alliance,2184.8,8,-2.7,20,848
RAIL775,USA,49.3,Alliance,825.6,40,-0.2,8,973
RAIL776,Australia,44.1,PPP,2315.4,50,2.2,25,1004
RAIL777,Asia,59.3,EPC,2306.2,37,2.1,23,653
RAIL778,South America,75.2,EPC,2309.7,37,-0.9,16,882
RAIL779,Africa,46.7,Design-Bid-Build,2813.1,26,-3.0,20,710
RAIL780,USA,45.5,PPP,31.3,84,6.2,0,717
RAIL781,South America,42.7,DBFOM,668.8,26,7.7,8,599
RAIL782,South America,69.4,Alliance,799.7,63,4.0,10,1176
RAIL783,South America,84.5,Alliance,7453.1,137,-3.1,75,969
RAIL784,South America,48.4,EPC,589.2,57,0.7,5,686
RAIL785,South America,70.4,DBFOM,1086.4,63,3.6,10,754
RAIL786,Europe,31.0,PPP,260.9,32,0.5,3,785
RAIL787,Europe,29.4,PPP,467.2,58,-1.7,6,979
RAIL788,Europe,26.7,Design-Bid-Build,895.0,47,-7.2,10,794
RAIL789,USA,27.3,DBFOM,1804.1,53,-5.1,17,854
RAIL790,Africa,15.5,Design-Bid-Build,3629.1,49,4.5,27,766
RAIL791,Europe,58.2,EPC,899.7,45,-5.2,7,916
RAIL792,Europe,69.6,EPC,161.9,120,5.2,0,717
RAIL793,Africa,53.3,EPC,45.4,58,4.3,0,625
RAIL794,Europe,48.0,DBFOM,1530.0,13,2.2,15,884
RAIL795,Canada,83.7,EPC,480.8,3,0.7,3,811
RAIL796,South America,40.5,PPP,424.5,63,3.1,7,822
RAIL797,Europe,29.7,EPC,239.4,37,-1.3,2,687
RAIL798,South America,40.7,EPC,67.7,59,3.0,0,743
RAIL799,Australia,94.6,EPC,1214.2,81,-1.0,15,828
RAIL800,Australia,61.6,PPP,477.0,72,9.4,5,924
RAIL801,Australia,29.4,PPP,874.1,40,-2.2,11,636
RAIL802,Asia,22.6,EPC,344.9,18,-2.3,4,888
RAIL803,Asia,65.1,EPC,742.2,20,0.9,5,629
RAIL804,Europe,19.9,DBFOM,4525.3,48,4.4,53,867
